                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96393,                 1.0276,                  1.136,                 1.0885,                 2.7901,                 1.1523,                0.08374,                    0.5,                0.21404,                0.04035,                 2.6237,                 4.0128,                 5.0298,                 2.7742,                 8.4952,                 4.5271,              0.0016733,              0.0016733,              0.0016733
                     36,                0.93381,                 1.0839,                 1.1931,                0.87351,                 3.0784,                 1.1411,                0.40639,                    0.3,                0.33969,                0.13424,                 2.4484,                 3.8115,                 3.8228,                 2.3212,                 7.7937,                 3.5281,              0.0016634,              0.0016634,              0.0016634
                     37,                0.80799,                  1.025,                 1.0821,                  0.965,                 2.7729,                 1.1713,                0.40639,                    0.3,                0.33969,                0.13424,                 2.4484,                 3.8115,                 3.8228,                 2.3212,                 7.7937,                 3.5281,              0.0016535,              0.0016535,              0.0016535
                     38,                0.97114,                 1.0071,                 1.1749,                 1.0279,                 2.4848,                 1.1846,                0.88719,                    0.7,                0.84844,                0.36108,                 1.6147,                 2.6655,                 2.0011,                 1.7054,                 6.7518,                 2.2885,              0.0016436,              0.0016436,              0.0016436
                     39,                0.95856,                0.98738,                 1.1442,                 1.0241,                 2.4126,                 1.1689,                0.95127,                    0.4,                0.69832,                 0.3721,                 1.4541,                 2.2391,                 1.8043,                 1.2533,                 6.4433,                 1.5278,              0.0016337,              0.0016337,              0.0016337
                     40,                0.89071,                0.91963,                 1.0704,                0.95078,                 2.5649,                 1.0917,                0.84738,                0.55898,                0.85348,                0.51894,                 1.2247,                 1.8436,                 1.5624,                0.93107,                 5.7781,                 1.5123,              0.0016238,              0.0016238,              0.0016238
                     41,                0.90038,                0.87988,                 1.1414,                 1.0586,                  2.376,                 1.2185,                0.84738,                0.55898,                0.85348,                0.51894,                 1.2247,                 1.8436,                 1.5624,                0.93107,                 5.7781,                 1.5123,              0.0016139,              0.0016139,              0.0016139
                     42,                0.98677,                 1.0199,                 1.1802,                 1.0898,                 2.4626,                 1.2135,                      1,                 0.7696,                0.90313,                0.56189,                  1.157,                 1.8958,                 1.5495,                  1.322,                 5.5149,                 1.5548,               0.001604,               0.001604,               0.001604
                     43,                 1.1035,                 1.1079,                   1.17,                 1.2654,                 2.9481,                 1.2856,                0.87037,                0.67406,                0.86663,                0.58691,                 1.0143,                  1.687,                 1.3437,                 1.1278,                 5.1445,                 1.4101,              0.0015941,              0.0015941,              0.0015941
                     44,                0.90025,                 1.0554,                 1.1836,                  1.082,                 3.1326,                 1.3392,                0.69231,                    0.4,                  0.675,                0.51683,                 0.7454,                 1.7523,                 1.1317,                0.73412,                 4.9522,                 1.2431,              0.0015842,              0.0015842,              0.0015842
